rwwrbbyrrybbwyywbbryyrww ywyw'yr'w'r'y'rb'
rywybbywrybbwrywbrrbyrww ywywr'w'b'rw'br'
rywbbwywrbbwwryrbyrrybwy ywywr'b'wbywr'
rywybwywrbbrwrybbrrbywwy ywywr'ywbyb'r'
rywrbbywrybwwryrbbryybww ywywr'by'rb'y'r'
yrybybwywywbrwrwrybrbrbw ywyr'yw'bry'r'w
yryrybwywywrrwrbrbbybwbw ywyr'w'rby'wr'w
rywbbyywrwbrwrybbyrrywwb ywrbwyb'yw'yr'
rrwbbwyyrbbrwwybbyrrywwy ywywrb'ry'w'r'b'
rrwybbyyrybwwwyrbrrbybww ywyw'rw'yw'rbw'
rwwybwyrrbbwwyyrbrrbybwy ywyw'rbw'yw'bw'
ywyrywwrwbwrryrbrbbybwby ywywb'wy'rbw'b'
rwwybyyrrwbbwyywbrrbyrwb ywyb'rw'br'w'b'w
ywybywwrwbwbryrwrybrbrby ywywb'y'brw'yb'
rywybbywrybrwrybbrrbywww ywrw'brw'bw'bw'
rwwrbyyrrwbwwyyrbbryybwb ywyb'y'r'by'rb'w
rrwybyyyrwbrwwybbrrbywwb ywyr'bwrbwy'b'
rrwbbyyyrwbwwwyrbyrrybwb ywyb'wyrwr'b'w
rwwybyyrrwbrwyybbrrbywwb ywr'wy'br'bwyr'
rwwbbyyrrwbwwyyrbyrrybwb ywr'wybr'bw'yr'
rywrbyywrwbbwrywbbryyrwb ywywb'w'yb'wy'b'
rywybwywrbbbwrywbrrbyrwy ywyr'b'w'r'b'rb'r'
rwwybbyrrybwwyyrbrrbybww yryrb'wy'bw'y'b'
rywbbbywrybwwryrbyrrybww ywy'by'by'rby'r
rywrbwywrbbwwryrbbryybwy ywy'bwy'by'by'r
yryrywwywbwbrwrwrbbybrby yryrw'y'wbr'yw'
rrwrbyyyrwbwwwyrbbryybwb ywrywb'r'b'wyw'
rrwybyyyrwbbwwywbrrbyrwb ywyb'r'br'b'w'r'b'
rywrbyywrwbrwrybbbryywwb ywb'rb'wb'rbrb'
rywbbyywrwbbwrywbyrryrwb ywb'rbrb'yb'rb'
ywybybwrwywrryrbrybrbwbw ywy'b'rw'yw'r'w'r'
rrwybwyyrbbwwwyrbrrbybwy ywbyr'b'ryrw'b
